TOR1B MBOAT7 0.1739 70-79
TOR1B PNPLA3 0.98726 70-79
SREBF1 INSR 0.34182 70-79
SREBF1 TM6SF2 0.00257 70-79
SREBF1 MBOAT7 0.81066 70-79
SREBF1 PNPLA3 0.00197 70-79
INSR TM6SF2 0.62737 70-79
INSR MBOAT7 0.16058 70-79
INSR PNPLA3 0.60729 70-79
TM6SF2 MBOAT7 0.59852 70-79
TM6SF2 PNPLA3 7e-05 70-79
MBOAT7 PNPLA3 0.52409 70-79
